Company-Year,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,NetIncomeAvailShareholders,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics ESG Risk Classification
ADM-2020,Consumer Staples,52.45191192626953,56.15447616577149,3.19,"20,000,000","556,000","1,772,000",58.75,24.183,7
ADM-2021,Consumer Staples,85.06822204589844,73.5248794555664,4.84,"22,477,000","560,000","2,709,000",58.933,24.282,7
ADM-2022,Consumer Staples,76.50296020507812,72.962646484375,7.93,"24,284,000","547,000","4,340,000",60.1,23.715,7
ADM-2023,Consumer Staples,61.71709060668945,59.95989227294922,6.44,"24,132,000","541,000","3,483,000",57.162,24.278,7
AEE-2020,Utilities,73.43846893310547,72.78661346435547,3.53,"8,938,000","247,000","871,000",64.695,28.425,7.545
AEE-2021,Utilities,86.90641784667969,84.310302734375,3.86,"9,700,000","256,300","990,000",62.688,31.554,5.833
AEE-2022,Utilities,82.19402313232422,78.29534912109375,4.16,"10,508,000","258,400","1,074,000",62.729,33.473,5
AEE-2023,Utilities,72.60014343261719,70.44337463378906,4.39,"11,349,000","262,800","1,152,000",63.933,35.387,5
AEP-2020,Utilities,73.69889831542969,74.28199005126953,4.44,"20,550,900","495,718","2,200,100",72.2,38.438,7
AEP-2021,Utilities,89.92811584472656,87.23026275634766,4.97,"22,433,200","500,522","2,488,100",68.025,35.229,7
AEP-2022,Utilities,84.82612609863281,79.22364044189453,4.51,"23,893,400","511,842","2,307,200",62.925,34.727,6
AEP-2023,Utilities,83.53663635253906,86.1076889038086,4.26,"25,246,700","518,904","2,208,100",61.279,35.737,5
AES-2020,Utilities,23.92090797424316,23.41464805603028,0.07,"2,634,000","657,143","46,000",72,38.682,7
AES-2021,Utilities,23.52151298522949,19.34463310241699,-0.61,"2,798,000","670,492","-409,000",78.058,43.244,7
AES-2022,Utilities,22.63325881958008,19.60758399963379,-0.82,"2,437,000","665,854","-546,000",74.837,40.493,7
AES-2023,Utilities,17.40439224243164,17.2306022644043,0.37,"2,488,000","669,000","249,000",71.383,40.15,6.333
AKAM-2020,Information Technology,101.9000015258789,116.5999984741211,3.43,"4,251,296","162,490","557,054",34.95,13.797,5
AKAM-2021,Information Technology,119.3899993896484,91.33000183105467,4.01,"4,530,014","162,665","651,642",35.375,14.678,4.5
AKAM-2022,Information Technology,78.30000305175781,89.87000274658203,3.29,"4,360,187","159,089","523,672",36.208,17.528,3
AKAM-2023,Information Technology,108.7600021362305,90.08000183105467,3.59,"4,597,155","152,510","547,629",37.108,20.677,3
ALB-2020,Materials,141.7695007324219,163.8751831054688,3.53,"4,268,227","106,402","375,764",55.073,18.23,7
ALB-2021,Materials,216.3252410888672,204.8438262939453,1.07,"5,625,266","115,841","123,672",55.113,18.207,7
ALB-2022,Materials,217.6294708251953,220.0584106445312,22.97,"7,982,627","117,120","2,689,816",56.033,27.128,5
ALB-2023,Materials,130.8357391357422,95.1669692993164,13.41,"9,412,180","117,317","1,573,476",56.375,29.455,5
ALGN-2020,Health Care,541.530029296875,611,22.55,"3,233,865","78,760","1,775,888",27.7,7.253,5
ALGN-2021,Health Care,436,236.6699981689453,9.78,"3,622,714","78,917","772,020",27.7,7.713,4.167
ALGN-2022,Health Care,334.1400146484375,353.6400146484375,4.62,"3,601,358","78,190","361,573",27.175,7.711,3.5
ALGN-2023,Health Care,327.9200134277344,241.4299926757812,5.82,"3,630,489","76,426","445,053",27,7.742,3
ALLE-2020,Industrials,119.8752212524414,133.3359375,3.41,"829,400","92,300","314,300",35.05,11.397,5
ALLE-2021,Industrials,105.9162139892578,94.8015365600586,5.37,"759,100","89,900","483,000",35.008,12.132,5
ALLE-2022,Industrials,104.2212905883789,117.6986618041992,5.20,"941,800","88,000","458,000",35.45,11.849,5
ALLE-2023,Industrials,133.6822814941406,117.674072265625,6.15,"1,318,300","87,900","540,400",37.55,15.23,5
AME-2020,Industrials,124.8592147827148,130.7139434814453,3.80,"5,949,346","229,435","872,439",38.45,9.568,5
AME-2021,Industrials,130.9798583984375,108.2594833374023,4.29,"6,871,884","230,955","990,053",38.45,12.483,5
AME-2022,Industrials,143.9048767089844,160.5777435302734,5.04,"7,476,512","231,536","1,159,542",38.075,13.712,5
AME-2023,Industrials,182.3220520019531,166.4416198730469,5.70,"8,730,191","230,519","1,313,188",38.125,14.284,5
AMGN-2020,Health Care,222.7806396484375,219.8728179931641,12.40,"9,409,000","586,000","7,264,000",38.3,17.31,5
AMGN-2021,Health Care,223.2203826904297,226.5121765136719,10.34,"6,700,000","570,000","5,893,000",38.025,18.674,3.167
AMGN-2022,Health Care,230.2042846679688,213.281005859375,12.18,"3,661,000","538,000","6,552,000",38.383,17.196,4.667
AMGN-2023,Health Care,280.125,310.2464904785156,12.56,"6,232,000","535,000","6,717,000",38.55,16.587,5
AMT-2020,Real Estate,217.1354064941407,245.3650360107422,3.81,"4,093,500","443,640","1,690,600",26.55,8.939,3
AMT-2021,Real Estate,232.6863555908203,236.7339630126953,5.69,"5,081,200","451,498","2,567,700",24.267,12.033,3
AMT-2022,Real Estate,194.2323608398437,184.3468322753907,3.83,"5,572,400","461,519","1,765,800",23.35,12.468,3
AMT-2023,Real Estate,194.2186584472656,191.0634307861328,3.18,"4,198,200","466,063","1,483,300",24.588,13.697,3
ANET-2020,Information Technology,75.47250366210938,90.57749938964844,2.09,"3,320,291","303,936","634,557",27.9,9.2,3
ANET-2021,Information Technology,138.9799957275391,93.73999786376952,2.74,"3,978,600","306,512","840,854",27.9,10.145,3
ANET-2022,Information Technology,167.8600006103516,162.0599975585938,4.41,"4,885,820","306,473","1,352,446",27.9,11.147,3
ANET-2023,Information Technology,289.9800109863281,350.4800109863281,6.75,"7,219,059","309,354","2,087,321",27.9,11.388,3
ANSS-2020,Information Technology,339.5599975585937,347.0599975585937,5.05,"4,097,872","85,840","433,887",28.25,12.853,3
ANSS-2021,Information Technology,317.6499938964844,239.2899932861328,5.22,"4,484,048","87,100","454,627",28.204,13.322,3
ANSS-2022,Information Technology,332.7999877929688,330.2699890136719,6.02,"4,865,851","87,051","523,710",27.7,14.586,3
ANSS-2023,Information Technology,347.1600036621094,321.5,5.76,"5,390,364","86,833","500,412",29.9,15.463,3
APH-2020,Information Technology,31.8934440612793,33.14781951904297,1.01,"5,384,900","1,192,000","1,203,400",34.4,10.538,5
APH-2021,Information Technology,36.74992752075195,31.48165702819824,1.33,"6,302,000","1,195,800","1,590,800",33.758,11.353,5
APH-2022,Information Technology,40.30868911743164,42.01679611206055,1.59,"7,015,600","1,192,400","1,902,300",33.3,11.792,5
APH-2023,Information Technology,57.46736526489258,67.26284790039062,1.61,"8,346,500","1,193,000","1,928,000",34.175,13.992,3.5
ARE-2020,Real Estate,145.8234252929688,162.5269927978516,6.03,"11,725,712","126,106","760,791",26.25,11.135,3
ARE-2021,Real Estate,182.8797607421875,132.5437316894531,3.83,"16,189,542","146,921","563,399",26.25,11.079,3
ARE-2022,Real Estate,117.6902160644531,107.4076919555664,3.18,"18,972,387","161,659","513,268",26.367,11.712,3
ARE-2023,Real Estate,126.1666259765625,115.6635284423828,0.54,"18,471,175","170,909","92,444",26.6,12.737,3
AVB-2020,Real Estate,164.0546569824219,187.1422424316407,5.89,"10,751,583","140,426","825,675",24.55,12.328,3
AVB-2021,Real Estate,227.4587097167969,178.997314453125,7.19,"10,932,527","139,681","1,002,199",24.717,13.63,3
AVB-2022,Real Estate,159.0364379882812,180.9483337402344,8.13,"11,253,476","139,892","1,134,684",25.125,14.795,2.833
AVB-2023,Real Estate,182.2992858886719,205.1851501464844,6.56,"11,783,241","141,307","927,162",25.742,15.85,2
AVY-2020,Materials,173.9944610595703,199.880874633789,6.66,"1,484,900","83,151","555,900",30.2,11.588,3
AVY-2021,Materials,166.9355621337891,155.9265899658203,8.94,"1,924,400","82,606","740,100",30.2,12.268,3
AVY-2022,Materials,174.4947357177734,168.2352447509766,9.28,"2,032,200","81,600","757,100",31.117,15.38,3
AVY-2023,Materials,221.5528717041016,217.8041229248047,6.25,"2,127,900","80,496","503,000",32.3,16.373,3
AWK-2020,Utilities,140.8086090087891,145.2498168945312,3.91,"6,454,000","181,000","709,000",54.95,25.868,5
AWK-2021,Utilities,157.7078247070312,142.2915649414062,6.96,"7,298,000","182,000","1,263,000",54.275,26.275,5
AWK-2022,Utilities,141.9931793212891,138.9490661621094,4.51,"7,693,000","182,000","820,000",53.867,26.699,5
AWK-2023,Utilities,120.8178100585938,128.4308013916016,4.90,"9,797,000","193,000","944,000",51.85,30.118,5
AXP-2020,Financials,134.7503356933594,158.4420013427734,3.77,"22,984,000","805,000","3,036,000",37.15,15.826,4.167
AXP-2021,Financials,180.232437133789,133.9386138916016,10.04,"22,177,000","789,000","7,917,000",37.696,18.063,3.167
AXP-2022,Financials,161.0424041748047,170.6627655029297,9.86,"24,711,000","751,000","7,400,000",38.55,19.427,3.5
AXP-2023,Financials,225.5838623046875,230.1492919921875,11.23,"28,057,000","735,000","8,252,000",38.55,19.938,3
BALL-2020,Materials,81.36012268066406,77.92401123046875,1.79,"3,275,000","326,260","585,000",30.3,15.048,3
BALL-2021,Materials,87.08357238769531,66.68829345703125,2.69,"3,627,000","325,989","878,000",30.3,16.173,3
BALL-2022,Materials,53.9736442565918,57.21369552612305,2.27,"3,461,000","316,433","719,000",29.475,17.867,3
BALL-2023,Materials,66.9521255493164,59.84710693359375,2.25,"3,769,000","314,775","707,000",31.183,19.551,3
BIO-2020,Health Care,571.1699829101562,644.2899780273438,128.13,"9,879,940","29,768","3,814,229",30.233,8.757,5
BIO-2021,Health Care,563.22998046875,495,142.61,"13,685,236","29,831","4,254,257",30.35,9.562,5
BIO-2022,Health Care,479.0199890136719,379.1199951171875,-121.79,"9,615,252","29,785","-3,627,535",28.867,11.268,3.333
BIO-2023,Health Care,345.8699951171875,273.1099853515625,-21.82,"8,741,133","29,209","-637,324",28.012,10.836,3
BK-2020,Financials,42.10107803344727,45.95890808105469,3.84,"45,801,000","890,839","3,417,000",43.196,20.382,5
BK-2021,Financials,45.37885284423828,38.36070251464844,4.17,"43,034,000","851,799","3,550,000",47.625,25.158,5
BK-2022,Financials,42.86501693725586,42.31720733642578,2.91,"40,734,000","811,068","2,362,000",49.342,27.758,5
BK-2023,Financials,56.33713531494141,59.01018905639648,3.89,"40,874,000","784,069","3,051,000",50.217,29.706,4.5
BKR-2020,Energy,19.53232002258301,20.84107971191406,-14.73,"12,893,000","675,000","-9,940,000",47.7,25.56,5
BKR-2021,Energy,33.94528961181641,27.10074806213379,-0.27,"14,830,000","824,000","-219,000",48.492,27.396,5
BKR-2022,Energy,27.61410522460937,30.42957496643066,-0.61,"14,394,000","987,000","-601,000",48.721,26.967,5
BKR-2023,Energy,32.83813095092773,34.72608184814453,1.93,"15,368,000","1,008,000","1,943,000",48.454,25.016,5
BMY-2020,Health Care,55.59808731079102,59.30686569213867,-3.99,"37,822,000","2,258,000","-9,015,000",47.963,20.293,5
BMY-2021,Health Care,65.82957458496094,70.5330581665039,3.25,"35,946,000","2,153,000","6,994,000",38.725,15.971,5
BMY-2022,Health Care,64.41676330566406,59.90537261962891,2.97,"31,061,000","2,130,000","6,327,000",38.8,16.136,5
BMY-2023,Health Care,52.19776153564453,40.43759536743164,3.88,"29,430,000","2,069,000","8,025,000",39.671,16.999,5
BRO-2020,Financials,44.54298400878906,51.89364242553711,1.70,"3,754,223","274,334","465,300",32.75,8.272,5
BRO-2021,Financials,70.93604278564453,57.34992980957031,2.08,"4,196,900","276,024","574,200",33.158,8.771,5
BRO-2022,Financials,56.74468231201172,68.16459655761719,2.38,"4,606,600","277,521","659,100",33.45,11.023,5
BRO-2023,Financials,87.1419906616211,89.15292358398438,3.07,"5,578,800","279,600","857,200",33.533,12.42,5
BSX-2020,Health Care,38.65000152587891,42.7599983215332,-0.12,"15,327,000","1,416,700","-115,000",51.442,19.168,7
BSX-2021,Health Care,44.29000091552734,37.27000045776367,0.69,"16,623,000","1,422,300","985,000",48.571,20.936,5.5
BSX-2022,Health Care,50.02999877929688,54.09000015258789,0.45,"17,574,000","1,430,500","642,000",47.15,21.036,5
BSX-2023,Health Care,68.48999786376953,77.01000213623047,1.08,"19,281,000","1,453,000","1,570,000",46.617,21.292,5
BXP-2020,Real Estate,84.5732650756836,96.62525177001952,5.54,"5,996,083","155,432","861,479",27.6,13.398,3
BXP-2021,Real Estate,111.4305572509766,77.5540771484375,3.18,"5,834,020","156,121","496,223",27.35,13.657,3
BXP-2022,Real Estate,49.024658203125,53.14792251586914,5.42,"6,132,919","156,724","848,056",27.15,14.123,3
BXP-2023,Real Estate,63.23258590698242,60.57391357421875,1.21,"5,876,697","156,864","190,215",27.175,14.673,3
CB-2020,Financials,149.1248931884766,150.7183837890625,7.84,"59,441,000","450,733","3,533,000",38.129,14.116,5
CB-2021,Financials,205.5526733398437,189.6276245117188,20.02,"59,714,000","426,573","8,525,000",38.1,14.392,5
CB-2022,Financials,189.6331939697266,188.8876953125,12.81,"50,519,000","414,595","5,246,000",38.671,14.735,5
CB-2023,Financials,257.3806457519531,254.1981048583984,21.97,"59,507,000","410,845","9,028,000",39.012,15.211,5
CBOE-2020,Financials,94.199462890625,114.1105041503906,4.28,"3,348,900","109,100","467,000",29.65,8.324,4.818
CBOE-2021,Financials,110.9273147583008,110.1858673095703,4.93,"3,604,800","107,000","527,300",30.175,11.263,3
CBOE-2022,Financials,132.3314514160156,136.5743865966797,2.20,"3,465,300","106,300","234,100",32.096,12.539,3.167
CBOE-2023,Financials,183.729995727539,170.0599975585938,7.16,"3,985,000","105,800","757,500",35.9,14.965,5
CCI-2020,Real Estate,147.8323974609375,169.0032653808594,2.36,"9,461,000","423,000","999,000",27.7,7.728,4.5
CCI-2021,Real Estate,163.3214721679688,150.2431335449219,2.54,"8,258,000","432,000","1,096,000",25.45,10.955,3
CCI-2022,Real Estate,122.8731918334961,105.8726806640625,3.87,"7,449,000","433,000","1,675,000",24.817,12.162,2.667
CCI-2023,Real Estate,102.6900863647461,96.16838836669922,3.46,"6,381,000","434,000","1,502,000",25.737,15.453,1.667
CDNS-2020,Information Technology,136.9900054931641,136.8200073242188,2.16,"2,493,018","273,728","590,644",30.85,13.723,3
CDNS-2021,Information Technology,164.4600067138672,150.0299987792969,2.54,"2,740,675","273,504","695,955",29.421,14.702,3
CDNS-2022,Information Technology,210.0899963378907,234.5200042724609,3.13,"2,745,113","271,198","848,952",28.9,16.155,3
CDNS-2023,Information Technology,311.2799987792969,307.75,3.86,"3,404,271","269,381","1,041,144",30.679,18.592,3
CDW-2020,Information Technology,159.4614868164062,168.4525299072266,5.53,"1,297,100","142,600","788,500",16.6,5.544,3
CDW-2021,Information Technology,173.7485198974609,153.4853973388672,7.14,"705,700","138,500","988,600",16.633,6.36,2.333
CDW-2022,Information Technology,191.5565643310547,180.8845825195312,8.24,"1,603,300","135,200","1,114,500",16.7,7.545,1
CDW-2023,Information Technology,254.4698944091797,223.2526245117188,8.20,"2,042,500","134,600","1,104,300",16.617,7.463,1
CE-2020,Materials,138.3646087646484,140.7697296142578,16.85,"3,526,000","117,800","1,985,000",52.409,22.371,5.727
CE-2021,Materials,134.4152984619141,111.1443405151367,16.99,"4,189,000","111,224","1,890,000",52.975,22.606,6.5
CE-2022,Materials,104.7881622314453,112.0850601196289,17.48,"5,637,000","108,380","1,894,000",53.2,23.722,5.333
CE-2023,Materials,169.4341888427734,133.6008911132812,18.01,"7,091,000","108,849","1,960,000",51.363,24.407,5
CF-2020,Materials,42.17963027954102,48.15627670288086,1.48,"2,922,000","214,900","317,000",63.508,21.486,8.167
CF-2021,Materials,98.0638656616211,81.89414978027344,4.27,"3,206,000","215,000","917,000",61.621,28.707,7
CF-2022,Materials,70.0738754272461,67.41669464111328,16.45,"5,051,000","203,300","3,346,000",58.525,27.899,6.333
CF-2023,Materials,82.1131820678711,73.62094116210938,7.89,"5,717,000","193,300","1,525,000",57.442,27.787,5.5
CFG-2020,Financials,37.43098831176758,39.3011474609375,2.22,"22,673,000","427,063","950,000",40.6,13.315,5
CFG-2021,Financials,39.85231399536133,31.6152400970459,5.18,"23,420,000","425,669","2,206,000",41.6,16.62,5
CFG-2022,Financials,27.76057624816895,24.07273483276367,4.12,"23,690,000","475,960","1,960,000",41.9,19.358,5
CFG-2023,Financials,35.07041549682617,35.25130462646484,3.14,"24,342,000","475,089","1,491,000",42.725,19.31,5
CHD-2020,Consumer Staples,83.82141876220703,82.02835083007812,3.18,"3,020,400","246,800","785,900",43.25,18.446,5
CHD-2021,Consumer Staples,96.4948501586914,90.21229553222656,3.38,"3,233,200","244,900","827,500",42.95,20.436,4.833
CHD-2022,Consumer Staples,86.87364196777344,98.81172943115234,1.70,"3,489,900","242,900","413,900",39.65,19.974,3
CHD-2023,Consumer Staples,103.7316665649414,103.4051971435547,3.09,"3,855,400","244,900","755,600",40.887,20.442,4.333
CHTR-2020,Communication Services,617.02001953125,721.4500122070312,15.85,"23,805,000","203,316","3,222,000",28.15,8.101,4.167
CHTR-2021,Communication Services,545.52001953125,468.5299987792969,25.34,"14,050,000","183,669","4,654,000",33.933,11.113,5
CHTR-2022,Communication Services,357.6099853515625,367.3699951171875,31.30,"9,119,000","161,501","5,055,000",42.354,16.717,5
CHTR-2023,Communication Services,290.6300048828125,298.9599914550781,30.54,"11,086,000","149,208","4,557,000",43.3,18.891,5
CL-2020,Consumer Staples,72.12767791748047,74.84884643554688,3.15,"743,000","856,800","2,695,000",40.365,18.407,5
CL-2021,Consumer Staples,70.96791076660156,75.40898132324219,2.56,"609,000","845,000","2,166,000",39.6,18.104,5
CL-2022,Consumer Staples,72.03397369384766,74.3100357055664,2.13,"401,000","836,400","1,785,000",41.767,19.702,5
CL-2023,Consumer Staples,88.5473403930664,95.99073791503906,2.78,"609,000","827,400","2,300,000",43.5,19.703,5
CMCSA-2020,Communication Services,49.20186614990234,52.08507537841797,2.30,"90,323,000","4,580,656","10,534,000",28.3,8.667,3
CMCSA-2021,Communication Services,43.33933258056641,36.50269317626953,3.12,"96,092,000","4,533,230","14,159,000",30.688,10.1,3.5
CMCSA-2022,Communication Services,36.02129364013672,39.78713607788086,1.27,"80,943,000","4,220,119","5,370,000",38.1,13.355,5
CMCSA-2023,Communication Services,42.40029525756836,38.55708312988281,3.87,"82,703,000","3,978,762","15,388,000",41.55,18.408,5
CMI-2020,Industrials,236.639877319336,223.9168243408203,12.07,"8,062,000","148,200","1,789,000",44.345,25.655,3
CMI-2021,Industrials,191.7423706054688,182.0994720458984,14.74,"8,146,000","144,600","2,131,000",44.4,26.068,3
CMI-2022,Industrials,229.3734436035156,236.8909606933593,15.20,"8,975,000","141,500","2,151,000",44.8,25.433,3
CMI-2023,Industrials,291.0554504394531,275.3089904785156,5.19,"8,850,000","141,700","735,000",44.875,25.649,3
CNC-2020,Health Care,63.90999984741211,72.93000030517578,3.17,"25,773,000","570,722","1,808,000",36.05,9.74,5
CNC-2021,Health Care,84.19000244140625,84.61000061035156,2.31,"26,795,000","582,832","1,347,000",35.887,13.296,5
CNC-2022,Health Care,63.20999908447266,67.44999694824219,2.09,"24,057,000","575,191","1,202,000",36.658,15.359,5
CNC-2023,Health Care,78.4800033569336,66.30000305175781,4.97,"25,840,000","543,319","2,702,000",36.8,16.61,3.833
COP-2020,Energy,46.42637634277344,53.86697006225586,-2.51,"29,849,000","1,078,030","-2,707,000",70.817,40.262,5.833
COP-2021,Energy,90.61166381835938,82.0320816040039,6.09,"45,406,000","1,324,194","8,060,000",72.333,36.638,7
COP-2022,Energy,94.4112777709961,99.65080261230467,14.62,"48,003,000","1,274,028","18,620,000",68.3,33.402,7
COP-2023,Energy,125.5795593261719,113.6569519042969,9.08,"49,279,000","1,202,757","10,922,000",70.717,36.244,7
CPAY-2020,Financials,268.6300048828125,256.0599975585937,8.38,"3,355,411","84,005","704,216",28.95,9.302,3.5
CPAY-2021,Financials,249.0599975585937,210.1100006103516,10.23,"2,866,580","82,060","839,497",29.95,11.825,3
CPAY-2022,Financials,210.8500061035156,251.0800018310547,12.62,"2,541,493","75,598","954,327",31.267,13.298,3
CPAY-2023,Financials,308.5400085449219,266.4100036621094,13.42,"3,282,359","73,155","981,890",32.85,14.807,3
CPT-2020,Real Estate,98.20367431640624,119.4302520751953,1.24,"3,444,905","99,385","123,650",26.2,7.95,3
CPT-2021,Real Estate,152.1175842285156,123.7642822265625,2.97,"4,197,490","101,999","303,362",25.9,9.5,3
CPT-2022,Real Estate,98.72320556640624,103.526725769043,6.07,"4,986,620","107,605","652,623",27.3,11.437,3
CPT-2023,Real Estate,96.43385314941406,108.0859146118164,3.71,"4,980,757","108,653","402,663",27.937,11.907,3
CSGP-2020,Real Estate,82.18900299072266,82.81999969482422,0.60,"5,375,359","380,730","227,128",34.65,8.347,5
CSGP-2021,Real Estate,66.61000061035156,60.40999984741211,0.75,"5,711,672","392,210","292,600",34.65,7.915,5
CSGP-2022,Real Estate,68.8499984741211,89,0.93,"6,870,000","396,284","369,500",36.083,9.355,5
CSGP-2023,Real Estate,96.5999984741211,74.13999938964844,0.92,"7,338,600","405,300","374,700",36.4,12.878,5
CSX-2020,Industrials,30.7402572631836,30.77516746520996,1.21,"13,101,000","2,289,000","2,765,000",37.745,15.986,4.636
CSX-2021,Industrials,36.22233200073242,28.19126892089844,1.72,"13,490,000","2,202,000","3,781,000",37.938,19.256,3.167
CSX-2022,Industrials,29.31903839111328,33.51263809204102,2.02,"12,615,000","2,066,000","4,166,000",37.55,17.38,5
CSX-2023,Industrials,36.81965255737305,33.32946014404297,1.85,"12,128,000","2,008,000","3,715,000",40.717,18.88,5
CTRA-2020,Energy,15.26503849029541,14.26876926422119,0.50,"2,216,000","399,000","201,000",66.1,16.192,9
CTRA-2021,Energy,23.19742202758789,22.68036651611328,2.30,"11,738,000","503,000","1,155,000",65.9,18.124,9
CTRA-2022,Energy,23.08518600463867,24.35794639587402,5.09,"12,659,000","796,000","4,057,000",65.237,18.904,9
CTRA-2023,Energy,27.45288276672364,26.47111129760743,2.14,"13,039,000","756,000","1,620,000",63.967,24.63,7.667
