Company-Year,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,NetIncomeAvailShareholders,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics ESG Risk Classification
CTSH-2020,Information Technology,74.0518569946289,65.86093139648438,2.58,"10,836,000","540,000","1,392,000",36.3,15.215,4.5
CTSH-2021,Information Technology,86.08234405517578,64.98596954345703,4.06,"11,991,000","527,000","2,137,000",32.213,13.64,3.5
CTSH-2022,Information Technology,59.39743804931641,63.91412734985352,4.42,"12,309,000","518,000","2,290,000",30.85,14.969,3
CTSH-2023,Information Technology,72.69676208496094,67.7099380493164,4.21,"13,227,000","505,000","2,126,000",30.85,16.298,3
CTVA-2020,Materials,44.81769180297852,42.75799560546875,0.91,"24,824,000","748,700","681,000",61.1,12.545,9
CTVA-2021,Materials,55.91080856323242,52.80459213256836,2.39,"25,384,000","735,900","1,759,000",61.821,16.778,9
CTVA-2022,Materials,59.2566032409668,56.43547439575195,1.59,"25,302,000","720,800","1,147,000",62.354,22.637,8.5
CTVA-2023,Materials,57.33525848388672,53.7846908569336,1.04,"25,037,000","709,000","735,000",58,21.191,7
CVX-2020,Energy,90.5629425048828,91.79926300048828,-2.96,"131,688,000","1,870,027","-5,543,000",76.45,36.072,8.667
CVX-2021,Energy,148.0988311767578,133.0643463134766,8.15,"139,067,000","1,915,989","15,625,000",73.5,32.826,8.833
CVX-2022,Energy,153.7446136474609,149.5805969238281,18.36,"159,282,000","1,931,486","35,465,000",70.929,30.483,8
CVX-2023,Energy,154.4774780273438,154.8562774658203,11.41,"160,957,000","1,872,737","21,369,000",70.171,32.934,7
D-2020,Utilities,65.37915802001953,63.90065765380859,-0.50,"26,117,000","806,000","-466,000",68.291,35.443,7
D-2021,Utilities,75.68745422363281,71.68855285644531,4.06,"27,308,000","810,000","3,331,000",64.637,36.187,5
D-2022,Utilities,51.60552597045898,48.39327239990234,1.19,"27,659,000","835,000","1,228,000",60.383,34.423,5
D-2023,Utilities,47.90469360351562,48.38818740844727,2.29,"27,529,000","836,400","1,913,000",60.317,33.899,5
DD-2020,Materials,72.37274932861328,72.8076400756836,-4.01,"38,504,000","735,500","-2,951,000",58.15,25.669,7
DD-2021,Materials,70.0094223022461,53.11483764648438,2.17,"26,433,000","542,700","6,467,000",58.075,27.965,6.833
DD-2022,Materials,69.6406021118164,69.66433715820312,11.63,"26,569,000","498,500","5,868,000",56.371,27.467,5
DD-2023,Materials,75.89726257324219,80.11617279052734,0.94,"24,279,000","449,900","423,000",56.483,27.822,5
DHR-2020,Health Care,196.8545379638672,234.9319610595703,4.97,"39,766,000","706,200","3,510,000",46.35,13.63,7
DHR-2021,Health Care,257.3372497558594,222.6066436767578,8.77,"45,167,000","714,600","6,269,000",34.088,12.597,4
DHR-2022,Health Care,221.9545135498047,211.582534790039,9.80,"50,082,000","725,100","7,103,000",29.95,15.208,3
DHR-2023,Health Care,249.1810913085937,249.582046508789,6.44,"53,486,000","736,500","4,743,000",30.008,18.178,3
DLR-2020,Real Estate,123.8510665893555,133.4587097167969,1.01,"17,717,697","260,099","263,342",27.1,12.796,3
DLR-2021,Real Estate,128.5099029541016,118.729362487793,5.95,"18,004,568","282,475","1,681,498",27.392,13.857,3
DLR-2022,Real Estate,92.72447967529295,108.6517791748047,1.18,"17,583,334","286,334","336,960",27.45,14.532,3
DLR-2023,Real Estate,141.6556091308594,150.8113555908203,3.04,"19,117,534","298,603","908,114",27,14.405,3
DOC-2020,Real Estate,26.45598602294922,28.02607345581055,0.77,"6,733,723","530,555","411,147",25.4,14.929,3
DOC-2021,Real Estate,29.65793991088867,22.58671188354492,0.93,"6,515,470","538,930","502,271",25.4,14.672,3
DOC-2022,Real Estate,19.80221366882324,18.31855010986328,0.92,"6,654,701","538,809","497,792",25.55,15.543,1.5
DOC-2023,Real Estate,17.88823699951172,19.02456283569336,0.56,"6,350,446","547,006","304,284",27.25,16.221,1.667
DOV-2020,Industrials,130.7264709472656,144.1359558105469,4.74,"3,385,773","144,050","683,451",45.95,14.258,6.5
DOV-2021,Industrials,151.5416564941406,117.5550918579102,7.81,"4,189,528","143,923","1,123,818",45.387,17.846,5
DOV-2022,Industrials,148.9078674316406,145.1975708007812,7.47,"4,286,366","142,681","1,065,376",44.6,19.45,5
DOV-2023,Industrials,176.143310546875,179.9433135986328,7.56,"5,106,605","139,848","1,056,828",45.417,19.509,5
DOW-2020,Materials,53.88549423217773,53.92191696166992,1.64,"12,435,000","740,500","1,216,000",47.05,17.623,6.333
DOW-2021,Materials,56.12439727783203,46.00638198852539,8.44,"18,165,000","743,600","6,279,000",46.775,22.528,5
DOW-2022,Materials,50.73861312866211,49.899169921875,6.32,"20,718,000","721,000","4,558,000",49.35,24.53,5
DOW-2023,Materials,56.51155471801758,52.40293502807617,0.82,"18,607,000","705,700","578,000",44.825,22.213,5
DTE-2020,Utilities,101.0783233642578,99.2460708618164,7.09,"12,425,000","193,000","1,366,000",69.6,38.645,7
DTE-2021,Utilities,121.6724700927734,117.4611740112305,4.68,"8,705,000","193,000","905,000",67.833,38.464,6.333
DTE-2022,Utilities,103.799919128418,105.1724548339844,5.53,"10,397,000","195,000","1,080,000",64.921,39.093,5.167
DTE-2023,Utilities,110.083869934082,110.0002822875977,6.77,"11,050,000","206,000","1,394,000",71.283,41.382,5.667
DVN-2020,Energy,17.63837623596191,23.85400581359864,-7.12,"2,885,000","377,000","-2,680,000",72.375,38.039,7
DVN-2021,Energy,50.69132995605469,48.03813934326172,4.20,"9,262,000","663,000","2,813,000",71.2,38.948,7
DVN-2022,Energy,46.87574005126953,45.58496475219727,9.15,"11,167,000","657,250","6,015,000",72.533,37.377,7
DVN-2023,Energy,49.33404922485352,47.03746032714844,5.86,"12,061,000","639,000","3,747,000",73.758,38.822,7
ECL-2020,Materials,205.7684173583984,198.4261016845703,-4.20,"6,166,500","287,000","-1,205,100",51.864,22.606,6.455
ECL-2021,Materials,171.2142028808594,149.5847778320312,3.95,"7,224,200","286,300","1,129,900",53.05,27.806,5
ECL-2022,Materials,162.7243347167969,184.1571044921875,3.83,"7,236,100","285,200","1,091,700",54.483,30.532,5
ECL-2023,Materials,229.7796020507812,237.4421844482422,4.82,"8,044,700","285,000","1,372,300",53.05,33.193,3.167
EIX-2020,Utilities,50.20915603637695,50.09049606323242,1.98,"14,048,000","373,000","739,000",59.017,28.816,5.5
EIX-2021,Utilities,62.79589462280273,57.22515869140625,2.00,"15,888,000","380,000","759,000",57.267,28.879,5
EIX-2022,Utilities,66.08711242675781,65.71464538574219,1.61,"15,621,000","381,000","612,000",56.338,28.839,5
EIX-2023,Utilities,69.16812896728516,71.0363540649414,3.12,"15,501,000","383,000","1,197,000",57.046,29.491,5
EMN-2020,Materials,98.33441925048828,104.8679580688477,3.53,"6,023,000","135,500","478,000",53,28.032,5
EMN-2021,Materials,102.5289840698242,82.73123168945312,6.35,"5,704,000","134,900","857,000",53.2,28.812,5
EMN-2022,Materials,79.76527404785156,79.97171020507812,6.42,"5,153,000","123,500","793,000",52.8,28.304,5
EMN-2023,Materials,98.53862762451172,97.17253112792967,7.54,"5,458,000","118,600","894,000",52.908,28.083,5
ENPH-2020,Information Technology,162.1600036621094,183.6300048828125,1.07,"483,993","125,561","133,995",34.114,6.956,6
ENPH-2021,Information Technology,201.7799987792969,195.2400054931641,1.09,"430,168","134,025","145,449",40.983,11.367,5
ENPH-2022,Information Technology,210.2799987792969,167.4799957275391,2.94,"825,573","135,349","397,362",43.15,14.068,5
ENPH-2023,Information Technology,120.9800033569336,99.70999908447266,3.22,"983,624","136,376","438,936",38.871,16.371,5
EOG-2020,Energy,59.37989807128906,68.73814392089844,-1.04,"20,302,000","578,949","-605,000",66.633,20.884,8.833
EOG-2021,Energy,103.3659439086914,97.28312683105467,8.03,"22,180,000","581,000","4,664,000",67,28.037,7
EOG-2022,Energy,106.9279174804688,108.4229888916016,13.31,"24,779,000","583,000","7,759,000",63.1,26.913,7
EOG-2023,Energy,125.1127014160156,124.1583251953125,13.07,"28,090,000","581,000","7,594,000",63.875,29.177,7
EQR-2020,Real Estate,62.8884162902832,68.17317962646484,2.45,"10,525,651","371,791","910,546",26.75,11.569,3
EQR-2021,Real Estate,81.36146545410156,65.81304168701172,3.56,"10,954,948","373,833","1,329,760",25.946,13.768,3
EQR-2022,Real Estate,56.24427795410156,62.58880996704102,2.06,"11,173,439","376,209","773,821",25.4,14.318,3
EQR-2023,Real Estate,61.8307991027832,68.66499328613281,2.20,"11,085,828","378,773","832,348",26.442,14.657,3
EQT-2020,Energy,17.73714256286621,21.25020027160645,-3.71,"9,255,240","260,613","-958,799",69.458,31.551,7.167
EQT-2021,Energy,32.84903335571289,33.0300178527832,-3.58,"9,954,763","323,196","-1,142,747",70.5,31.641,7
EQT-2022,Energy,30.95889854431152,40.09303283691406,4.79,"11,172,474","370,048","1,770,965",69.533,32.402,7
EQT-2023,Energy,36.56961441040039,36.64871978759766,4.56,"14,773,200","380,902","1,735,232",69.2,33.334,7
ES-2020,Utilities,76.67485046386719,71.58674621582031,3.56,"14,063,566","338,836","1,205,167",57.775,34.795,5
ES-2021,Utilities,80.33283233642578,77.55941009521484,3.55,"14,599,844","343,973","1,220,527",51.596,29.969,4.833
ES-2022,Utilities,73.44452667236328,67.15769958496094,4.05,"15,473,158","346,783","1,404,875",43.8,24.803,3
ES-2023,Utilities,58.34521102905273,56.04419326782227,-1.27,"14,173,892","349,581","-442,240",46.154,27.42,3
EW-2020,Health Care,83.63999938964844,103.5699996948242,1.32,"4,574,300","622,600","823,400",43.512,23.737,3.167
EW-2021,Health Care,117.7200012207031,95.08999633789062,2.41,"5,835,900","623,300","1,503,100",43.437,24.48,3
EW-2022,Health Care,82.7300033569336,94.33000183105467,2.46,"5,806,700","619,000","1,521,900",42.804,23.448,3
EW-2023,Health Care,95.55999755859376,92.37000274658205,2.31,"6,650,000","606,700","1,402,400",43.037,22.76,3.5
EXC-2020,Utilities,27.63890647888184,28.27134323120117,2.01,"32,585,000","976,000","1,963,000",61.225,36.272,5
EXC-2021,Utilities,43.63804626464844,41.86703872680664,1.74,"34,393,000","979,000","1,706,000",60.038,35.397,5
EXC-2022,Utilities,39.60772323608398,38.85469818115234,2.18,"24,744,000","994,000","2,170,000",58.733,34.335,5
EXC-2023,Utilities,36.80314254760742,34.26688003540039,2.34,"25,755,000","996,000","2,328,000",58.292,35.043,5
FANG-2020,Energy,62.23037338256836,79.95523071289062,-28.59,"8,794,000","157,976","-4,517,000",69.9,19.687,9
FANG-2021,Energy,118.5150833129883,105.2043762207031,12.35,"12,088,000","176,643","2,182,000",70.2,23.234,9
FANG-2022,Energy,124.7084579467773,123.7169418334961,24.61,"15,009,000","176,539","4,386,000",70.5,24.712,9
FANG-2023,Energy,192.9616088867188,198.2256927490234,17.34,"16,625,000","179,999","3,143,000",73.917,33.267,7.667
FCX-2020,Materials,31.38607788085937,35.37009429931641,0.41,"10,174,000","1,458,000","599,000",76.25,36.499,8.167
FCX-2021,Materials,47.71343231201172,28.16141128540039,2.96,"13,980,000","1,457,000","4,306,000",73.808,39.095,7
FCX-2022,Materials,39.93047332763672,39.17191314697266,2.43,"15,555,000","1,430,000","3,468,000",72.9,40.434,7
FCX-2023,Materials,46.57409286499024,48.3145866394043,1.29,"16,693,000","1,435,000","1,848,000",72.158,40.584,7
FE-2020,Utilities,29.70097351074219,32.24671173095703,1.99,"7,237,000","542,000","1,079,000",63.429,24.935,7.167
FE-2021,Utilities,40.97950744628906,34.62143325805664,2.35,"8,675,000","545,000","1,283,000",61.05,26.54,7
FE-2022,Utilities,37.19730377197266,36.4614372253418,0.71,"10,166,000","571,000","406,000",61.075,30.884,5.333
FE-2023,Utilities,37.38836669921875,37.47372055053711,1.92,"10,437,000","573,000","1,102,000",57.004,30.465,5
FIS-2020,Financials,129.8118896484375,131.1419219970703,0.26,"49,300,000","619,000","158,000",29.35,10.657,3
FIS-2021,Financials,93.8369140625,86.10047149658203,0.68,"47,347,000","616,000","417,000",30.725,12.299,3
FIS-2022,Financials,51.89184188842773,52.68061065673828,-27.68,"27,218,000","604,000","-16,720,000",32.1,13.975,3
FIS-2023,Financials,73.4548110961914,75.0099868774414,-11.26,"19,093,000","591,000","-6,654,000",37.683,20.154,3
FMC-2020,Materials,101.5859527587891,99.79761505126952,4.24,"2,961,800","129,700","551,000",62.225,23.732,7
FMC-2021,Materials,123.1068954467773,100.5343551635742,5.72,"3,124,300","128,400","737,800",63.2,24.51,7
FMC-2022,Materials,116.4144058227539,99.93611145019533,5.83,"3,377,900","126,000","734,800",59.075,24.688,7
FMC-2023,Materials,62.46704483032227,56.96522521972656,10.55,"4,410,900","125,060","1,318,800",56.608,26.091,6.5
FSLR-2020,Information Technology,87.30000305175781,90.51000213623048,3.76,"5,520,928","105,867","398,355",50.908,29.503,5
FSLR-2021,Information Technology,83.73999786376953,68.12999725341797,4.41,"5,959,551","106,263","468,693",51.388,31.122,5
FSLR-2022,Information Technology,217.5,190.0899963378907,-0.41,"5,836,055","106,551","-44,166",50.287,31.297,3.5
FSLR-2023,Information Technology,168.8000030517578,225.4600067138672,7.78,"6,687,469","106,795","830,777",49.933,31.438,3
GE-2020,Industrials,64.53648376464844,66.20728302001953,4.64,"35,552,000","1,094,125","5,230,000",69.262,23.162,9
GE-2021,Industrials,56.3949089050293,39.27748107910156,-6.16,"40,310,000","1,098,000","-6,573,000",69.3,26.25,9
GE-2022,Industrials,75.8039779663086,87.18395233154297,0.05,"33,696,000","1,096,000","51,000",67.65,26.977,9
GE-2023,Industrials,139.6027221679688,158.4195556640625,8.44,"27,378,000","1,089,000","9,186,000",67.629,27.426,8.833
GILD-2020,Health Care,55.80970764160156,60.13920593261719,0.10,"18,202,000","1,257,000","123,000",38.3,15.699,5
GILD-2021,Health Care,53.52963256835938,56.36401748657227,4.96,"21,069,000","1,256,000","6,225,000",38.3,15.738,5
GILD-2022,Health Care,78.11637115478516,73.25247955322266,3.66,"21,240,000","1,255,000","4,592,000",38.617,16.292,5
GILD-2023,Health Care,71.62889099121094,67.77882385253906,4.54,"22,833,000","1,248,000","5,665,000",39.25,16.353,5
GL-2020,Financials,93.65036010742188,92.49130249023438,6.90,"8,771,092","106,054","731,773",36,10.685,5
GL-2021,Financials,98.30946350097656,95.4446792602539,7.30,"8,642,806","102,049","1,031,114",35.854,14.123,5
GL-2022,Financials,108.3996505737305,108.4156875610352,7.55,"3,949,577","97,974","894,386",35.533,14.907,5
GL-2023,Financials,115.566032409668,81.86292266845703,10.21,"4,486,803","95,098","970,755",35.8,15.229,5
GOOG-2020,Communication Services,103.3139343261719,125.1735610961914,2.96,"222,544,000","13,616,314","40,269,000",42.067,15.271,5
GOOG-2021,Communication Services,139.4907684326172,109.248176574707,5.69,"251,635,000","13,352,994","76,033,000",36.7,14.062,5
GOOG-2022,Communication Services,103.8817901611328,120.8324966430664,4.59,"256,144,000","13,063,000","59,972,000",39.892,15.847,5
GOOG-2023,Communication Services,152.0869293212891,183.2115173339844,5.84,"283,379,000","12,630,000","73,795,000",40.542,16.168,5
GOOGL-2020,Communication Services,103.0077819824219,121.9495391845703,2.96,"222,544,000","13,616,314","40,269,000",42.067,15.271,5
GOOGL-2021,Communication Services,138.9080810546875,108.8380813598633,5.69,"251,635,000","13,352,994","76,033,000",36.7,14.062,5
GOOGL-2022,Communication Services,103.6110916137695,119.5627746582031,4.59,"256,144,000","13,063,000","59,972,000",39.892,15.847,5
GOOGL-2023,Communication Services,150.7569732666016,181.9411773681641,5.84,"283,379,000","12,630,000","73,795,000",40.542,16.168,5
GS-2020,Financials,299.5315551757812,349.0145874023437,24.94,"95,932,000","356,400","8,915,000",51.292,20.305,6.667
GS-2021,Financials,307.6792907714844,278.4779968261719,60.25,"109,926,000","350,500","21,151,000",49.958,23.11,5
GS-2022,Financials,312.936279296875,310.773681640625,30.42,"117,189,000","352,100","10,764,000",50.363,24.919,5
GS-2023,Financials,412.2560424804688,449.5991821289063,23.05,"116,905,000","340,800","7,907,000",52.1,26.821,5
HAL-2020,Energy,20.41911697387696,22.04171180725098,-3.34,"4,974,000","881,000","-2,945,000",50.9,22.94,5.727
HAL-2021,Energy,36.32709121704102,30.19037246704102,1.63,"6,713,000","892,000","1,457,000",49.621,24.551,5
HAL-2022,Energy,30.77321434020996,32.22491073608398,1.74,"7,948,000","904,000","1,572,000",47.525,22.938,5
HAL-2023,Energy,39.03260803222656,33.61045074462891,2.93,"9,391,000","899,000","2,638,000",47.45,21.778,5
HES-2020,Energy,67.71784210205078,83.85916900634766,-10.08,"5,366,000","306,980","-3,093,000",78.658,48.153,6.167
HES-2021,Energy,103.7839202880859,103.111457824707,1.80,"6,300,000","309,745","559,000",78.017,48.479,5
HES-2022,Energy,129.9560546875,133.939208984375,7.26,"7,855,000","306,177","2,096,000",77.85,45.844,7
HES-2023,Energy,151.7325134277344,147.0705261230469,4.50,"8,986,000","307,158","1,382,000",79.033,45.126,7
HON-2020,Industrials,202.390625,205.4217376708984,6.79,"17,549,000","704,100","4,779,000",59.792,26.148,7
HON-2021,Industrials,184.5216217041016,165.7328491210938,8.01,"18,569,000","692,300","5,542,000",59.413,28.796,6.833
HON-2022,Industrials,184.989486694336,201.9078826904297,7.33,"16,697,000","677,100","4,966,000",58.304,29.19,5
HON-2023,Industrials,203.0529327392578,212.4153442382812,8.53,"15,856,000","663,000","5,658,000",58.6,29.844,5
HST-2020,Real Estate,15.17636013031006,15.39252376556396,-1.04,"6,321,000","705,900","-732,000",25.875,11.407,3
HST-2021,Real Estate,17.50010299682617,14.14398097991943,-0.02,"6,441,000","710,300","-11,000",25.675,11.338,3
HST-2022,Real Estate,15.34930038452148,15.78597736358643,0.89,"6,710,000","714,700","633,000",25.4,11.553,3
HST-2023,Real Estate,20.24869728088379,17.78044319152832,1.04,"6,633,000","709,700","740,000",28.325,14.747,3
HSY-2020,Consumer Staples,147.2204284667969,162.9985504150391,6.30,"2,234,352","208,446","1,278,708",50.8,25.018,5
HSY-2021,Consumer Staples,205.7352905273437,205.2517700195312,7.34,"2,757,229","206,734","1,477,512",53.412,27.822,5
HSY-2022,Consumer Staples,245.9944000244141,242.4981231689453,8.22,"3,299,544","205,535","1,644,817",53.288,26.563,5
HSY-2023,Consumer Staples,191.8283233642578,182.6039276123047,9.31,"4,099,086","204,738","1,861,787",53.113,27.621,5
INVH-2020,Real Estate,28.98623657226562,33.98056793212891,0.35,"8,504,825","553,993","195,764",28.8,7.918,5
INVH-2021,Real Estate,37.10372543334961,33.02801895141602,0.45,"9,797,742","577,681","261,098",28.8,9.522,3.833
INVH-2022,Real Estate,29.53864288330078,32.79798126220703,0.63,"10,291,342","609,771","382,668",28.8,11.394,3
INVH-2023,Real Estate,35.03738403320312,35.60377883911133,0.85,"10,155,971","611,894","518,774",29.512,12.409,3
IPG-2020,Communication Services,25.71865653991699,28.91577339172364,0.90,"2,895,000","389,400","351,100",27.25,11.301,3
IPG-2021,Communication Services,32.29568481445312,25.27596855163575,2.42,"3,526,000","393,000","952,800",26.95,11.382,3
IPG-2022,Communication Services,35.15933609008789,36.74129486083984,2.40,"3,614,600","391,500","938,000",26.638,12.544,3
IPG-2023,Communication Services,31.94700813293457,28.78033256530762,2.86,"3,942,600","384,100","1,098,400",26.067,15.824,2.667
ISRG-2020,Health Care,246.3133392333984,306.5466613769531,3.02,"9,731,500","351,000","1,060,600",43.85,11.232,7
ISRG-2021,Health Care,301.6799926757812,200.7100067138672,4.79,"11,901,100","356,100","1,704,600",43.9,14.198,5.333
ISRG-2022,Health Care,255.4700012207031,341.9400024414062,3.72,"11,041,900","355,700","1,322,300",42.817,18.062,5
ISRG-2023,Health Care,399.0899963378906,444.8500061035156,5.12,"13,307,600","351,200","1,798,000",42.062,20.32,5
IT-2020,Information Technology,182.5500030517578,242.1999969482422,2.99,"1,090,428","89,315","266,745",37.3,9.327,5
IT-2021,Information Technology,297.4599914550781,241.8300018310547,9.33,"371,058","85,026","793,560",37.3,13.727,5
IT-2022,Information Technology,325.7699890136719,350.3099975585937,10.08,"227,798","80,178","807,799",37.55,15.476,5
IT-2023,Information Technology,476.6700134277344,449.0599975585938,11.17,"680,634","79,004","882,466",36.3,15.927,4
ITW-2020,Industrials,204.6176605224609,207.5453033447266,6.66,"3,181,000","316,900","2,109,000",45.8,25.77,4
ITW-2021,Industrials,197.4873809814453,172.8467102050781,8.55,"3,625,000","315,100","2,694,000",45.7,25.955,3.5
ITW-2022,Industrials,235.4650268554688,243.2859802246093,9.80,"3,088,000","309,600","3,034,000",45.6,24.77,4.333
ITW-2023,Industrials,265.3408813476562,235.5625457763672,9.77,"3,012,000","302,600","2,957,000",45.6,20.752,5
JNPR-2020,Information Technology,22.96407890319824,25.00697326660156,0.78,"4,543,500","330,400","257,800",29.3,13.128,3
JNPR-2021,Information Technology,34.68619918823242,26.7664852142334,0.78,"4,316,900","324,400","252,700",29.775,13.387,3
JNPR-2022,Information Technology,33.00082015991211,30.25362586975098,1.46,"4,475,100","322,100","471,000",32.225,15.438,3
JNPR-2023,Information Technology,36.61272811889648,36.23512649536133,0.97,"4,492,700","320,000","310,200",32.879,17.841,3
JPM-2020,Financials,137.3665618896484,141.3641662597656,8.89,"279,354,000","3,082,400","27,410,000",46.3,23.702,5
JPM-2021,Financials,126.0990447998047,104.7911605834961,15.39,"294,127,000","3,021,500","46,503,000",50.217,22.008,5
JPM-2022,Financials,124.3442687988281,139.8067169189453,12.10,"292,332,000","2,965,800","35,892,000",52.546,23.49,5
JPM-2023,Financials,196.8273315429688,199.9789276123047,16.25,"327,878,000","2,938,600","47,760,000",53.3,24.024,5
K-2020,Consumer Staples,52.27577972412109,53.65637588500977,3.65,"3,112,000","343,000","1,251,000",52.125,26.222,5
K-2021,Consumer Staples,55.27502059936523,61.69098663330078,4.36,"3,720,000","341,000","1,488,000",52.113,25.176,5
K-2022,Consumer Staples,59.34658050537109,60.26322174072266,2.81,"3,941,000","341,000","960,000",53.079,25.797,5
K-2023,Consumer Staples,56.19183731079102,57.14468765258789,2.78,"3,175,000","342,086","951,000",54.7,26.597,5
KDP-2020,Consumer Staples,31.56476593017578,32.65765762329102,0.94,"23,829,000","1,407,200","1,325,000",38.736,13.57,5
KDP-2021,Consumer Staples,35.50378799438477,33.48562622070312,1.52,"24,972,000","1,415,700","2,146,000",39.342,16.403,5
